
2024/10/25 (19:44:39) | ===> btop++ v.1.4.0
2024/10/25 (19:44:39) | WARNING: NVML: Failed to get maximum GPU power draw, defaulting to 225W: Not Supported

2024/10/25 (19:44:39) | ===> btop++ v.1.4.0
2024/10/25 (19:44:39) | WARNING: NVML: Failed to get maximum GPU power draw, defaulting to 225W: Not Supported

2024/10/25 (20:34:48) | ===> btop++ v.1.4.0
2024/10/25 (20:34:48) | WARNING: NVML: Failed to get maximum GPU power draw, defaulting to 225W: Not Supported

2024/10/25 (20:34:52) | ===> btop++ v.1.4.0
2024/10/25 (20:34:52) | WARNING: NVML: Failed to get maximum GPU power draw, defaulting to 225W: Not Supported

2024/10/25 (21:46:37) | ===> btop++ v.1.4.0
2024/10/25 (21:46:37) | WARNING: NVML: Failed to get maximum GPU power draw, defaulting to 225W: Not Supported

2024/10/25 (22:25:41) | ===> btop++ v.1.4.0
2024/10/25 (22:25:41) | WARNING: NVML: Failed to get maximum GPU power draw, defaulting to 225W: Not Supported

2024/10/25 (22:27:35) | ===> btop++ v.1.4.0
2024/10/25 (22:27:35) | WARNING: NVML: Failed to get maximum GPU power draw, defaulting to 225W: Not Supported

2024/10/25 (23:45:42) | ===> btop++ v.1.4.0
2024/10/25 (23:45:42) | WARNING: NVML: Failed to get maximum GPU power draw, defaulting to 225W: Not Supported

2024/10/26 (01:05:43) | ===> btop++ v.1.4.0
2024/10/26 (01:05:43) | WARNING: NVML: Failed to get maximum GPU power draw, defaulting to 225W: Not Supported

2024/10/26 (02:09:16) | ===> btop++ v.1.4.0
2024/10/26 (02:09:16) | WARNING: NVML: Failed to get maximum GPU power draw, defaulting to 225W: Not Supported

2024/10/28 (12:13:33) | ===> btop++ v.1.4.0
2024/10/28 (12:13:33) | WARNING: NVML: Failed to get maximum GPU power draw, defaulting to 225W: Not Supported
2024/10/28 (12:13:40) | ERROR: Stall in Runner thread, restarting!
2024/10/28 (12:13:45) | ERROR: Stall in Runner thread, restarting!

2024/10/28 (12:14:05) | ===> btop++ v.1.4.0
2024/10/28 (12:14:05) | WARNING: NVML: Failed to get maximum GPU power draw, defaulting to 225W: Not Supported

2024/10/28 (12:14:10) | ===> btop++ v.1.4.0
2024/10/28 (12:14:10) | WARNING: NVML: Failed to get maximum GPU power draw, defaulting to 225W: Not Supported
2024/10/28 (12:14:19) | WARNING: Failed to join _runner thread on exit!
2024/10/28 (12:14:19) | ERROR: No response from Runner thread, quitting!

2024/10/28 (12:14:24) | ===> btop++ v.1.4.0
2024/10/28 (12:14:24) | WARNING: NVML: Failed to get maximum GPU power draw, defaulting to 225W: Not Supported
2024/10/28 (12:14:31) | ERROR: Stall in Runner thread, restarting!
2024/10/28 (12:14:36) | ERROR: Stall in Runner thread, restarting!

2025/04/06 (22:34:31) | ===> btop++ v.1.4.0
2025/04/06 (22:34:31) | WARNING: NVML: Failed to get maximum GPU power draw, defaulting to 225W: Not Supported
2025/04/06 (22:34:34) | WARNING: Failed to join _runner thread on exit!
